Time
'0:1:1.0,1.8571
'0:1:1.1,1.8550
'0:1:1.2,1.8532
'0:1:1.3,1.8512
'0:1:1.4,1.8491
'0:1:1.5,1.8472
'0:1:1.6,1.8454
'0:1:1.7,1.8439
'0:1:1.8,1.8424
'0:1:1.9,1.8403
'0:1:2.0,1.8389
'0:1:2.1,1.8373
'0:1:2.2,1.8355
'0:1:2.3,1.8339
'0:1:2.4,1.8322
'0:1:2.5,1.8305
'0:1:2.6,1.8288
'0:1:2.7,1.8272
'0:1:2.8,1.8256
'0:1:2.9,1.8238
'0:1:3.0,1.8222
'0:1:3.1,1.8204
'0:1:3.2,1.8188
'0:1:3.3,1.8171
'0:1:3.4,1.8155
'0:1:3.5,1.8138
'0:1:3.6,1.8121
'0:1:3.7,1.8102
'0:1:3.8,1.8085
'0:1:3.9,1.8068
'0:1:4.0,1.8055
'0:1:4.1,1.8038
'0:1:4.2,1.8020
'0:1:4.3,1.8004
'0:1:4.4,1.7986
'0:1:4.5,1.7970
'0:1:4.6,1.7953
'0:1:4.7,1.7937
'0:1:4.8,1.7924
'0:1:4.9,1.7906
'0:1:5.0,1.7890
'0:1:5.1,1.7873
'0:1:5.2,1.7855
'0:1:5.3,1.7839
'0:1:5.4,1.7825
'0:1:5.5,1.7806
'0:1:5.6,1.7790
'0:1:5.7,1.7774
'0:1:5.8,1.7758
'0:1:5.9,1.7738
'0:1:6.0,1.7725
'0:1:6.1,1.7709
'0:1:6.2,1.7692
'0:1:6.3,1.7676
'0:1:6.4,1.7660
'0:1:6.5,1.7644
'0:1:6.6,1.7625
'0:1:6.7,1.7610
'0:1:6.8,1.7594
'0:1:6.9,1.7577
'0:1:7.0,1.7562
'0:1:7.1,1.7548
'0:1:7.2,1.7532
'0:1:7.3,1.7515
'0:1:7.4,1.7498
'0:1:7.5,1.7482
'0:1:7.6,1.7468
'0:1:7.7,1.7452
'0:1:7.8,1.7442
'0:1:7.9,1.7425
'0:1:8.0,1.7411
'0:1:8.1,1.7395
'0:1:8.2,1.7383
'0:1:8.3,1.7370
'0:1:8.4,1.7356
'0:1:8.5,1.7342
'0:1:8.6,1.7329
'0:1:8.7,1.7315
'0:1:8.8,1.7301
'0:1:8.9,1.7288
'0:1:9.0,1.7278
'0:1:9.1,1.7267
'0:1:9.2,1.7257
'0:1:9.3,1.7245
'0:1:9.4,1.7234
'0:1:9.5,1.7220
'0:1:9.6,1.7209
'0:1:9.7,1.7199
'0:1:9.8,1.7186
'0:1:9.9,1.7172
'0:1:10.0,1.7160
'0:1:10.1,1.7146
'0:1:10.2,1.7132
'0:1:10.3,1.7118
'0:1:10.4,1.7104
'0:1:10.5,1.7091
'0:1:10.6,1.7076
'0:1:10.7,1.7059
'0:1:10.8,1.7043
'0:1:10.9,1.7027
'0:1:11.0,1.7013
'0:1:11.1,1.6996
'0:1:11.2,1.6981
'0:1:11.3,1.6965
'0:1:11.4,1.6950
'0:1:11.5,1.6936
'0:1:11.6,1.6924
'0:1:11.7,1.6908
'0:1:11.8,1.6893
'0:1:11.9,1.6879
'0:1:12.0,1.6867
'0:1:12.1,1.6853
'0:1:12.2,1.6839
'0:1:12.3,1.6825
'0:1:12.4,1.6812
'0:1:12.5,1.6798
'0:1:12.6,1.6785
'0:1:12.7,1.6769
'0:1:12.8,1.6756
'0:1:12.9,1.6743
'0:1:13.0,1.6730
'0:1:13.1,1.6715
'0:1:13.2,1.6702
'0:1:13.3,1.6689
'0:1:13.4,1.6677
'0:1:13.5,1.6663
'0:1:13.6,1.6649
'0:1:13.7,1.6634
'0:1:13.8,1.6621
'0:1:13.9,1.6604
'0:1:14.0,1.6593
'0:1:14.1,1.6580
'0:1:14.2,1.6569
'0:1:14.3,1.6555
'0:1:14.4,1.6542
'0:1:14.5,1.6531
'0:1:14.6,1.6518
'0:1:14.7,1.6505
'0:1:14.8,1.6493
'0:1:14.9,1.6479
'0:1:15.0,1.6468
'0:1:15.1,1.6455
'0:1:15.2,1.6442
'0:1:15.3,1.6428
'0:1:15.4,1.6414
'0:1:15.5,1.6400
'0:1:15.6,1.6388
'0:1:15.7,1.6377
'0:1:15.8,1.6364
'0:1:15.9,1.6349
'0:1:16.0,1.6337
'0:1:16.1,1.6322
'0:1:16.2,1.6310
'0:1:16.3,1.6298
'0:1:16.4,1.6286
'0:1:16.5,1.6271
'0:1:16.6,1.6259
'0:1:16.7,1.6246
'0:1:16.8,1.6235
'0:1:16.9,1.6225
'0:1:17.0,1.6216
'0:1:17.1,1.6208
'0:1:17.2,1.6196
'0:1:17.3,1.6187
'0:1:17.4,1.6175
'0:1:17.5,1.6165
'0:1:17.6,1.6155
'0:1:17.7,1.6145
'0:1:17.8,1.6135
'0:1:17.9,1.6125
'0:1:18.0,1.6119
'0:1:18.1,1.6109
'0:1:18.2,1.6100
'0:1:18.3,1.6091
'0:1:18.4,1.6083
'0:1:18.5,1.6073
'0:1:18.6,1.6064
'0:1:18.7,1.6055
'0:1:18.8,1.6044
'0:1:18.9,1.6032
'0:1:19.0,1.6023
'0:1:19.1,1.6011
'0:1:19.2,1.6002
'0:1:19.3,1.5990
'0:1:19.4,1.5979
'0:1:19.5,1.5966
'0:1:19.6,1.5953
'0:1:19.7,1.5941
'0:1:19.8,1.5928
'0:1:19.9,1.5914
'0:1:20.0,1.5903
'0:1:20.1,1.5889
'0:1:20.2,1.5876
'0:1:20.3,1.5862
'0:1:20.4,1.5847
'0:1:20.5,1.5835
'0:1:20.6,1.5824
'0:1:20.7,1.5812
'0:1:20.8,1.5800
'0:1:20.9,1.5787
'0:1:21.0,1.5775
'0:1:21.1,1.5762
'0:1:21.2,1.5750
'0:1:21.3,1.5740
'0:1:21.4,1.5728
'0:1:21.5,1.5716
'0:1:21.6,1.5705
'0:1:21.7,1.5694
'0:1:21.8,1.5681
'0:1:21.9,1.5671
'0:1:22.0,1.5660
'0:1:22.1,1.5648
'0:1:22.2,1.5638
'0:1:22.3,1.5626
'0:1:22.4,1.5615
'0:1:22.5,1.5603
'0:1:22.6,1.5593
'0:1:22.7,1.5582
'0:1:22.8,1.5572
'0:1:22.9,1.5562
'0:1:23.0,1.5554
'0:1:23.1,1.5543
'0:1:23.2,1.5532
'0:1:23.3,1.5525
'0:1:23.4,1.5516
'0:1:23.5,1.5508
'0:1:23.6,1.5498
'0:1:23.7,1.5489
'0:1:23.8,1.5480
'0:1:23.9,1.5471
'0:1:24.0,1.5463
'0:1:24.1,1.5453
'0:1:24.2,1.5444
'0:1:24.3,1.5434
'0:1:24.4,1.5426
'0:1:24.5,1.5416
'0:1:24.6,1.5404
'0:1:24.7,1.5394
'0:1:24.8,1.5384
'0:1:24.9,1.5371
'0:1:25.0,1.5362
'0:1:25.1,1.5350
'0:1:25.2,1.5340
'0:1:25.3,1.5328
'0:1:25.4,1.5317
'0:1:25.5,1.5305
'0:1:25.6,1.5297
'0:1:25.7,1.5286
'0:1:25.8,1.5276
'0:1:25.9,1.5266
'0:1:26.0,1.5257
'0:1:26.1,1.5248
'0:1:26.2,1.5237
'0:1:26.3,1.5225
'0:1:26.4,1.5214
'0:1:26.5,1.5202
'0:1:26.6,1.5192
'0:1:26.7,1.5183
